,Email,Address,Credit Card,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
0,adkv@ota.com,"89280 Mark Lane
New John, MN 16131",3544288738428794,35.49726772511229,13.655651149166752,40.57766801952616,4.582620632952961,588.9510539684005
1,gjun@syj.com,"363 Amanda Cliff Apt. 638
West Angela, KS 31437",6546228325389133,32.92627202636016,12.109460728682564,38.268958868297744,3.16403418213262,393.2049334443264
2,qjyr@pkk.com,"62008 Adam Lodge
Lake Pamela, NY 30677",4406395951712628314,34.000914755642675,12.330278057777512,38.11059744212085,4.604543202376424,488.54750486747207
3,jkiu@xsb.com,"950 Tami Island
Lake Aimeeview, MT 93614",30334036663133,35.30555662975554,14.717513665142508,37.72128267790313,3.620178782748092,582.8523440352178
4,stvb@niy.com,"08254 Kelly Squares
North Lauren, AR 78382",3582080469154498,34.33067252364639,13.795188551078114,38.53665330059473,4.946308318351435,600.4060920457634
5,arfj@hjz.com,"807 Heather Tunnel Apt. 651
Meganport, GA 21737",4679202632619304,34.87103787934198,13.026925339755058,35.47687762925054,5.993507201364199,638.102447915074
6,aebg@ush.com,"42954 Jason Gardens
North Brandonport, IL 37324",30273775116681,33.02159550138701,12.366348309710526,37.683776152869605,5.185017246570912,522.5721747578274
7,kpyd@hju.com,"USS Johnson
FPO AP 14464",30150607432629,33.739142938380326,13.35195897300293,38.373358858547554,4.9342734348999375,550.9041461052942
8,udhh@gyx.com,"7153 Rebecca Meadows
North Edwinland, MT 29715",38267967632820,34.98777289568564,14.386235275676434,38.534497341555735,3.7734335777477144,571.2004089636195
9,zevm@ibk.com,"66557 Morales Islands
East Bryce, IL 96161",4035292740217207,32.93654861844892,12.814128294972196,38.14516822352819,3.702806071553459,428.19938489532814
10,aqgm@cjq.com,"373 Bailey Causeway Suite 315
South Jenniferfurt, MS 00949",675989867469,34.99257277495374,14.338975447662111,38.22580613162114,2.982607770510596,493.6060127179966
11,hdsp@alb.com,"335 Donald Station Apt. 870
South Michaelview, MD 43978",2574209479667379,34.87936082480498,12.584782999535266,38.087926070983805,4.21320920294043,523.3374046069357
12,rxud@ohi.com,"77430 Danielle Trail
Anthonyton, WV 26058",630498419658,30.532428967057943,11.961298400154098,38.42021557502538,4.546423164299585,409.64035107262754
13,atfb@ccf.com,"29784 Heather Villages Apt. 690
South Matthew, IN 39776",4179485077919007005,34.19033404372265,13.959226091609382,37.14466670004192,4.4185418391589995,574.4158673313865
14,lokw@snb.com,"9749 Roberts Square
Port Vanessaton, AK 74711",501864912669,33.38797585315387,14.148725692056516,37.61995708279922,2.994543646659249,471.45273330095546
15,iwhe@wjy.com,"8872 Ward Mews
Danielletown, IL 40716",376311506397675,31.737720372628186,13.636606052000127,37.213763093698624,3.857846842326294,462.7807421962299
16,jhct@ade.com,"2558 Wilson Pass
East Jeremiahtown, MS 26053",6011321604307565,33.12538689728784,12.733861690857392,35.8940927514398,3.6361327164897803,458.84769594494855
17,jwfg@vls.com,"PSC 1659, Box 9330
APO AE 19246",4358414715321579,33.33889932306719,13.0131946940144,39.38513659413844,2.920806160901484,408.7045475495441
18,fxri@gsj.com,"1053 Welch Wells
Lake Valerie, NC 64687",4275813371188455,33.187812045932155,15.7153875441565,39.24411459434352,2.016575580831944,453.31567548003545
19,wykp@yhj.com,"17794 Jackson Avenue
Port Bruceland, CT 83134",371911173594531,33.61785606282345,14.989592555825254,38.19050380039796,4.564548550437977,606.061038804892
20,nasl@iof.com,"39559 Sarah Ville Suite 968
Smithport, OH 80377",4967095689531,33.91278511115979,12.365492025516156,38.60779252420698,5.099937357614995,535.7057438060227
21,awng@ggd.com,"1053 Elizabeth Light Suite 899
East Dustin, WV 89382",30165061082470,34.50308725671972,13.87798369625634,38.44102133556604,2.059151939957077,420.9387748391792
22,lyub@oda.com,"067 Campos Road
West Michael, AZ 65751",3539069927484179,32.5316044825729,14.378562784168986,39.73400628989712,2.7451477874052825,437.51560572936256
23,ecrb@mjs.com,"4638 Zachary Manors
Acostastad, IA 50851",6011305178688898,33.903250973372074,12.657575922065584,37.77260376125875,4.419302308553184,520.3409891307888
24,snyl@rdx.com,"2271 Smith Cliffs Apt. 424
Pittsside, FL 53566",5117558999698752,35.50755099852662,13.893669504071738,38.63575587790592,6.205153970601026,701.9170916173961
25,upyk@jkf.com,"Unit 1527 Box 5064
DPO AE 37676",3519450892130720,34.02933195350689,12.765812645482358,38.73852494557909,3.2217359920452187,424.17999168059777
26,kqyp@cyg.com,"178 Christensen Manor
Shafferside, KY 34647",580484291035,34.54123131310037,13.78389178427502,37.430649621049305,5.148199316428601,620.8956398616368
27,vmet@qmw.com,"10672 Melissa Land
Floresville, ID 76483",2706514250779074,33.33598963740772,14.007819424388568,38.85177916943607,3.496364526268539,487.83893476506273
28,goqm@uzf.com,"PSC 3805, Box 7120
APO AE 18728",4250050988535500,34.11020505771776,12.982044994015611,36.29308775436051,4.423488745527437,530.537665336851
29,fhao@ijr.com,"2980 John Road
North Yvonneberg, MN 73852",4769563405930678,34.10543794246846,12.965020002997898,38.27781174207212,5.242577519573315,555.7220838330761
30,ctxg@cfd.com,"9185 Keller Prairie Suite 426
North Brandyland, NE 29951",4876364370451,34.24190043446127,13.305417813429443,37.16364817104465,3.562368145311689,498.5866713004408
31,nuxe@wzs.com,"53837 Debra Ville Suite 210
Lake Pamelastad, KY 01100",36246748178016,34.46105629551836,11.869163814130363,36.62244242064545,3.971413452477678,448.6879065360586
32,jubr@csd.com,"05739 Joyce Dam
Coxberg, OH 72248",2257967199155587,33.175501237949376,14.387492105579694,36.69417498569782,4.843062915388998,589.7126055095755
33,gadp@kkg.com,"Unit 9943 Box 5364
DPO AP 56298",3536142962641483,33.72836000313375,14.1045072428758,39.878040506759845,3.3200972339734696,492.0732236795197
34,teqk@zcq.com,"Unit 3204 Box 5630
DPO AE 26189",676234270327,33.82030994541536,12.634893252550466,36.36862632536302,4.6245852967146535,508.4418323396167
35,xzhn@snh.com,"1936 Martin Pass Suite 270
Josephside, SC 16134",2289284210331979,34.61603789276768,12.936386499892285,39.76864099802668,4.149286157714702,522.8835731664784
36,cyhk@vkm.com,"503 Sutton Extension Apt. 415
East Michaeltown, NV 97203",4231093369723125,32.72165236050904,12.75502370305383,37.7657223578584,2.347370423339508,348.7769266318726
37,dptf@tyj.com,"Unit 9355 Box 1396
DPO AP 01490",6531231615198492,33.8653271748764,12.984417523634924,38.0443614002997,3.952388582630727,491.7386321439546
38,bpqc@uls.com,"5052 Bailey Grove
Sophiamouth, MT 90635",3510865821926329,33.74936818112046,10.954975969174418,38.38831486719822,5.150491269094463,479.1703340540876
39,tpmb@wfs.com,"Unit 5013 Box 9521
DPO AP 52774",4511174354991108,33.56723048027511,13.489013215743665,37.37147981406854,4.72243622534277,538.8461952695957
40,fnyd@odn.com,"11356 Cheryl Branch
Thomasville, MN 89252",30140335665483,33.07054622092545,12.733106220383402,38.53429101112127,5.171275460906252,533.7517875818365
41,aduq@mny.com,"225 Wells Prairie Apt. 910
Juliechester, VA 87754",4090807160447810,34.01954798572344,11.634561317920278,38.49669014561275,5.146119976606155,502.8744302842695
42,giay@hju.com,"44423 Andrea Village Apt. 873
Port Desireestad, ID 00802",346633056958268,34.79203907501622,13.507525374016035,38.14286198458455,4.714495086037866,592.1971781805905
